Year;Country;G01N;G05B;G06F;G06K;G06N;G06Q;G06T;G10L;H04L;H04N;Automation_and_Control_Systems;Computer_Science_Artificial_Intelligence;Computer_Science_Information_Systems;Computer_Science_Interdisciplinary_Applications;Computer_Science_Theory_and_Methods;Engineering_Electrical_and_Electronic;Engineering_Multidisciplinary;Environmental_Sciences;Instruments_and_Instrumentation;Neurosciences;Adjusted_net_national_income_(current_US$);Adjusted_savings_education_expenditure_(%_of_GNI);Age_dependency_ratio_(%_of_working_age_population);Exports_of_goods_and_services_(%_of_GDP);External_balance_on_goods_and_services_(%_of_GDP);Final_consumption_expenditure_(%_of_GDP);Fixed_telephone_subscriptions_(per_100_people);Foreign_direct_investment_net_inflows_(%_of_GDP);Foreign_direct_investment_net_outflows_(%_of_GDP);GDP_(constant_2010_US$);GDP_per_capita_(constant_2010_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_LCU);GNI_per_capita_(current_LCU);Gross_capital_formation_(%_of_GDP);Gross_fixed_capital_formation_(%_of_GDP);Gross_national_expenditure_(%_of_GDP);Imports_of_goods_and_services_(%_of_GDP);Inflation_GDP_deflator_(annual_%);Lower_secondary_school_starting_age_(years);Merchandise_exports_to_high_income_economies_(%_of_total_merchandise_exports);Merchandise_imports_from_high_income_economies_(%_of_total_merchandise_imports);Merchandise_trade_(%_of_GDP);Population_total;Preprimary_education_duration_(years);Primary_education_duration_(years);Primary_school_starting_age_(years);Real_effective_exchange_rate_index_(2010_100);Secondary_education_duration_(years);Trade_(%_of_GDP);Urban_population_(%_of_total_population);AI_publications;AI_patents
2016;Austria;61;33;50;12;4;7;8;1;24;7;68;139;155;171;147;406;54;585;189;409;3,23E+11;5,21;49,43;52,45;3,83;71,97;40,78;-7,32;-6,81;4,22E+11;48259,94;19,67;3,57E+11;40893,48;24,19;23,1;96,16;48,62;1,67;10;86,48;87,07;78,38;8736668;3;4;6;99,77;8;101,07;57,91;58;0
2017;Austria;51;10;23;16;0;12;3;0;17;0;71;108;124;188;160;406;62;590;151;401;3,41E+11;5,21;49,67;54,04;3,3;71,71;42,66;3,24;2,42;4,32E+11;49112,73;19,49;3,67E+11;41716,73;24,77;23,53;96,47;50,74;1,13;10;86,22;86,14;82,39;8797566;3;4;6;100,84;8;104,77;58,09;45;0
1980;Belgium;6;0;0;0;0;1;0;0;0;0;8;3;10;15;10;61;14;31;26;56;1,08E+11;5,3;52,87;50,12;-2,82;77,57;24,74;1,22;1,22;2,67E+11;27069,43;22,87;91988419200;9330,17;26,56;24,82;104,13;52,94;4,13;12;;;;9859242;3;6;6;113,01;6;103,06;95,38;0;0
1981;Belgium;1;1;0;0;0;0;0;0;1;4;11;2;9;12;12;87;12;38;37;57;87907653007;5,5;51,81;54,06;-2,09;80,37;26,18;1,32;1,32;2,66E+11;26994,54;24,1;96523191700;9790,38;22,57;21,56;102,94;56,16;5,14;12;;;;9858982;3;6;6;105,01;6;110,22;95,54;0;0
1982;Belgium;8;0;2;1;0;0;0;0;1;0;7;1;14;10;12;59;17;41;30;67;77209233685;5,4;50,64;58,1;-1,72;80,84;27,52;1,6;1,6;2,68E+11;27162,53;23,76;1,04E+11;10547,13;21,6;20,3;102,43;59,82;7,57;12;;;;9856303;3;6;6;95,79;6;117,93;95,64;0;0
1983;Belgium;4;0;0;1;0;1;1;0;0;1;7;5;14;17;16;74;10;35;39;60;73076098328;5,2;49,51;60,4;0,4;81,02;28,47;1,48;1,48;2,69E+11;27249,4;23,42;1,10E+11;11169,01;18,76;18,72;99,78;60;5,61;12;;;;9855520;3;6;6;94,71;6;120,4;95,74;0;0
1984;Belgium;4;0;2;0;0;0;0;0;2;0;13;1;8;17;15;66;20;55;38;83;70465995992;4,9;48,59;64,41;0,59;79,85;29,53;0,47;0,47;2,75E+11;27921,9;23,35;1,19E+11;12093,04;19,82;18,37;99,66;63,82;5,44;12;;;;9855372;3;6;6;94,12;6;128,23;95,84;0;0
1985;Belgium;3;0;2;1;0;0;0;0;0;2;15;4;13;16;19;86;18;62;33;73;73290539217;5,1;47,97;62,45;1,03;80,11;30,58;1,22;1,22;2,80E+11;28374,65;22,83;1,27E+11;12895,83;18,98;18,82;99,08;61,42;4,63;12;;;;9858308;3;6;6;95,28;6;123,88;95,93;1;0
1986;Belgium;1;3;0;0;0;1;1;0;10;10;14;4;14;17;12;65;18;44;38;80;1,03E+11;4,9;47,91;57,28;2,24;79,1;32,5;0,61;0,61;2,85E+11;28881,56;22,69;1,33E+11;13504,7;18,57;18,67;97,67;55,04;2,8;12;;;;9861823;3;6;6;99,23;6;112,33;96,02;5;0
1987;Belgium;18;0;6;3;0;1;2;0;14;8;13;1;20;19;20;101;6;52;52;89;1,28E+11;4,6;48,07;55,87;1,82;78,61;33,87;1,58;1,58;2,91E+11;29522,58;22,52;1,39E+11;14080,24;19,63;19,11;98,24;54,05;1,68;12;;;;9870234;3;6;6;102,36;6;109,92;96,12;2;0
1988;Belgium;9;4;4;4;0;0;0;2;0;3;22;12;13;16;32;104;18;52;46;105;1,40E+11;4,3;48,37;59,41;2,39;75,94;35,4;3,21;3,21;3,05E+11;30818,85;21,14;1,49E+11;15014,7;21,86;21,08;97,81;57,01;2,17;12;;;;9901664;3;6;6;100,12;6;116,42;96,2;7;0
1989;Belgium;12;1;7;2;0;0;1;0;2;3;10;3;18;35;32;96;25;73;48;150;1,41E+11;4,3;48,72;63,57;2,2;74,67;37,19;4,27;4,27;3,16E+11;31772,39;20,46;1,61E+11;16172,98;23,53;22,84;98,19;61,37;4,8;12;;;;9937697;3;6;6;98,93;6;124,94;96,29;6;0
1990;Belgium;14;1;8;1;0;1;2;0;1;11;18;16;31;30;45;157;19;65;89;124;1,77E+11;4,3;49,07;61,61;1,76;74,41;39,1;3,92;3,92;3,26E+11;32671,63;20,22;1,71E+11;17119,27;24,35;23,98;98,76;59,85;2,81;12;;;;9967379;3;6;6;103,17;6;121,47;96,38;9;0
1991;Belgium;10;3;9;3;0;2;1;0;3;6;20;10;25;27;59;136;20;54;63;147;1,82E+11;4,3;49,47;60,23;1,87;75,65;40,8;4,45;4,45;3,32E+11;33147,13;20,86;1,79E+11;17935,85;22,84;22,39;98,49;58,36;2,88;12;;;;10004486;3;6;6;101,64;6;118,59;96,46;16;0
1992;Belgium;9;3;10;3;0;1;0;0;7;5;22;20;47;45;76;192;14;82;83;132;2,02E+11;5,2;49,89;58,81;2,55;75,1;42,31;4,81;4,81;3,37E+11;33518,23;20,96;1,88E+11;18753,13;22,59;22,1;97,7;56,26;3,42;12;;;;10045158;3;6;6;102,54;6;115,07;96,54;21;0
1993;Belgium;18;1;15;4;0;1;9;9;10;111;12;19;46;42;45;179;9;99;68;133;1,95E+11;5,3;50,32;56,11;3,2;74,96;43,44;4,78;4,78;3,33E+11;33066,41;21,29;1,96E+11;19428,41;21,93;21,32;96,89;52,9;3,99;12;;;;10084475;3;6;6;102,46;6;109,01;96,62;11;0
1994;Belgium;19;3;12;1;0;0;4;0;2;15;22;41;42;58;49;216;23;123;80;165;2,15E+11;5,3;50,74;58,42;3,62;74,42;44,74;3,48;3,48;3,44E+11;34028,41;21,1;2,08E+11;20570,43;22,01;20,8;96,43;54,81;2,09;12;;;;10115603;3;6;6;104,15;6;113,23;96,7;30;0
1995;Belgium;17;6;4;2;0;0;0;0;2;2;36;49;33;53;82;224;21;112;95;190;2,51E+11;2,9;51,1;60,11;3,85;74,36;45,96;3,71;3,71;3,52E+11;34767,02;21,3;2,15E+11;21220,81;21,79;21,23;96,15;56,26;1,22;12;;;;10136811;3;6;6;107,97;6;116,38;96,78;36;0
1996;Belgium;15;1;0;2;0;0;1;2;0;21;49;45;21;68;48;269;31;145;133;200;2,43E+11;3;51,56;61,19;3,17;75,2;45,29;5,04;5,04;3,57E+11;35157,69;21,72;2,19E+11;21588,94;21,63;21,18;96,83;58,02;0,48;12;;;;10156637;3;6;6;105,2;6;119,21;96,85;39;0
1997;Belgium;12;1;6;6;0;5;2;0;1;12;43;60;53;78;90;253;20;143;125;259;2,20E+11;3,04;51,9;64,79;3,88;73,82;46,64;4,75;4,75;3,71E+11;36403,25;21,15;2,30E+11;22546,82;22,3;21,85;96,12;60,9;0,76;12;;;;10181245;3;6;6;98,91;6;125,69;96,92;31;0
1998;Belgium;16;1;13;2;0;5;0;0;2;6;44;63;52;87;105;300;32;183;119;284;2,24E+11;3,04;52,14;64,17;3,64;74,01;47,44;8,78;8,78;3,78E+11;37038,25;21,09;2,38E+11;23353,25;22,35;21,78;96,36;60,53;1,81;12;;;;10203008;3;6;6;98,73;6;124,71;97;41;0
1999;Belgium;9;0;6;6;0;5;0;0;5;5;61;74;48;82;109;319;21;199;119;288;2,23E+11;3,89;52,33;64,56;3,96;73,35;48,84;46,36;46,36;3,91E+11;38262,63;21,28;2,48E+11;24246,23;22,69;22,17;96,04;60,61;0,6;12;;;;10226419;3;6;6;97;6;125,17;97,07;44;0
2000;Belgium;2;0;4;4;0;7;0;0;13;7;43;70;71;70;110;353;33;204;122;288;2,04E+11;4,75;52,51;72,55;2,86;73,35;48,98;37,57;37,57;4,06E+11;39588,6;21,04;2,63E+11;25653,82;23,78;22,51;97,14;69,68;2,01;12;;;;10251250;3;6;6;93,01;6;142,23;97,13;46;0
2001;Belgium;15;0;10;3;0;3;1;0;5;8;53;75;35;88;91;359;37;247;127;297;2,01E+11;5,6;52,55;71,61;3,65;73,72;49,73;37,29;37,29;4,10E+11;39886,49;21,31;2,69E+11;26177,77;22,63;22,39;96,35;67,96;1,98;12;;;;10286570;3;6;6;93,63;6;139,58;97,19;45;0
2002;Belgium;6;2;13;1;0;6;4;0;3;4;52;118;62;91;137;412;39;253;142;297;2,19E+11;5,71;52,6;70,83;5,58;73,68;47,58;7,05;3,47;4,17E+11;40385,87;22,14;2,78E+11;26902,54;20,75;20,7;94,42;65,25;1,64;12;;;;10332785;3;6;6;95,11;6;136,09;97,24;43;0
2003;Belgium;6;0;7;0;0;5;0;0;3;3;67;155;92;150;257;394;37;263;131;351;2,69E+11;5,56;52,65;69,04;5,36;73,68;46,79;10,89;12,31;4,22E+11;40634,59;22,48;2,87E+11;27618,14;20,96;20,49;94,64;63,68;1,85;12;;;;10376133;3;6;6;99,7;6;132,72;97,3;49;0
2004;Belgium;10;0;4;2;0;6;0;0;3;1;61;162;111;132;278;459;38;304;154;322;3,12E+11;5,62;52,64;70,91;4,89;72,44;45,81;12,07;9,43;4,37E+11;41903,98;22,2;3,01E+11;28877,96;22,67;21,46;95,11;66,01;1,92;12;;;;10421137;3;6;6;101,3;6;136,92;97,35;57;0
2005;Belgium;0;0;0;0;0;0;0;0;0;0;72;196;157;129;338;489;35;383;143;380;3,24E+11;5,6;52,53;74,28;4,04;72,28;45,46;8,73;8,44;4,47E+11;42641,68;22,09;3,14E+11;29957,28;23,68;22,15;95,96;70,25;2,08;12;;;;10478617;3;6;6;101,05;6;144,53;97,4;39;0
2006;Belgium;0;0;0;0;0;4;0;0;0;0;58;227;157;183;341;498;45;353;141;359;3,41E+11;5,63;52,47;76,8;4,04;71,99;44,52;14,42;12,29;4,58E+11;43442,57;21,94;3,30E+11;31269,33;23,97;22,33;95,96;72,76;2,26;12;;;;10547958;3;6;6;100,61;6;149,57;97,45;49;1
2007;Belgium;0;0;2;0;0;1;0;0;0;0;77;132;80;173;85;561;48;393;157;351;3,93E+11;5,63;52,28;78,3;4,14;71,26;45,31;20,53;17,74;4,75E+11;44710,39;21,62;3,48E+11;32788,31;24,6;23,29;95,86;74,17;1,93;12;;;;10625700;3;6;6;101,42;6;152,47;97,51;59;0
2008;Belgium;0;0;3;0;0;0;0;0;0;0;57;121;109;196;99;595;55;430;139;418;4,34E+11;5,95;52,06;80,88;0,67;73,39;43,92;36,95;43,33;4,77E+11;44556,82;22,67;3,60E+11;33641,39;25,94;24,12;99,33;80,21;1,91;12;;;;10709973;3;6;6;104,15;6;161,09;97,56;61;0
2009;Belgium;0;0;0;0;0;3;0;2;0;0;74;108;88;149;82;550;50;432;147;424;3,91E+11;6,25;51,94;68,83;2,26;75,56;42,69;16,07;6,93;4,68E+11;43306,6;24,19;3,53E+11;32688,01;22,17;22,78;97,74;66,57;0,53;12;;;;10796493;3;6;6;104,21;6;135,41;97,6;46;0
2010;Belgium;0;0;1;0;0;0;0;2;0;0;46;108;112;206;98;572;63;514;175;506;4,06E+11;6,1;52,01;75,85;1,7;75,17;42,42;26,09;13,89;4,81E+11;44141,88;23,73;3,69E+11;33840,66;23,13;22,12;98,3;74,15;1,89;12;;;;10895586;3;6;6;100;6;150;97,65;66;0
2011;Belgium;0;0;0;0;0;0;0;0;0;0;65;158;129;221;101;693;73;506;153;561;4,30E+11;6,12;52,33;80,7;-0,1;75,59;42,08;31,31;24,7;4,89E+11;44309,63;24,05;3,77E+11;34114,9;24,51;23,01;100,1;80,8;1,81;12;;;;11038264;3;6;6;100,75;6;161,49;97,7;63;0
2012;Belgium;0;0;3;0;0;0;0;0;1;0;61;154;138;191;121;695;87;532;171;563;4,12E+11;6,15;52,74;80,4;0,06;76,25;41,81;2,38;8,36;4,93E+11;44361,21;24,3;3,95E+11;35575,6;23,69;22,96;99,94;80,34;1,96;12;;;;11106932;3;6;6;98,48;6;160,75;97,74;58;0
2013;Belgium;0;0;1;0;0;0;0;0;0;0;69;166;138;255;117;664;82;614;180;614;4,27E+11;6,17;53,24;79,32;0,8;76,77;41,12;-5,68;-2,37;4,95E+11;44355,37;24,31;4,03E+11;36073,48;22,43;22,17;99,2;78,53;1,27;12;;;;11159407;3;6;6;100,16;6;157,85;97,79;66;0
2014;Belgium;0;0;0;0;0;1;0;0;0;0;103;196;163;247;130;739;78;597;165;667;4,30E+11;6,28;53,74;79,8;0,82;76,05;40,39;-2,84;-0,08;5,03E+11;44855,96;24,23;4,11E+11;36707,76;23,14;22,81;99,18;78,98;0,98;12;;;;11209057;3;6;6;99,93;6;158,78;97,83;61;0
2015;Belgium;0;0;1;1;0;2;0;0;0;0;82;169;164;217;151;688;71;746;186;653;3,65E+11;6,26;54,19;77,81;1,42;74,95;39,77;-4,22;1,59;5,13E+11;45503,35;23,62;4,23E+11;37483,72;23,63;22,96;98,58;76,39;1,34;12;;;;11274196;3;6;6;94,87;6;154,19;97,88;76;0
2016;Belgium;14;1;19;3;1;22;2;1;13;7;114;218;169;229;137;691;92;776;209;704;3,81E+11;6,26;54,77;79,38;1,19;74,61;38,5;12,09;7,26;5,21E+11;45957,68;23,24;4,34E+11;38340,62;24,19;23,21;98,81;78,18;1,74;12;;;;11331422;3;6;6;97,69;6;157,56;97,92;61;0
2017;Belgium;9;8;14;5;1;56;2;1;6;1;101;187;173;248;123;676;100;784;189;699;4,07E+11;6,26;55,33;82,31;1,39;74,49;37,49;-7,19;-1,26;5,31E+11;46680,21;23,07;4,51E+11;39663,66;24,11;23,11;98,61;80,92;1,72;12;;;;11375158;3;6;6;99,08;6;163,23;97,96;86;0
1980;Brazil;30;8;16;14;0;1;0;0;10;1;4;0;2;2;1;16;4;6;12;29;1,99E+11;3,5;72,47;9,05;-2,25;78,91;4,1;0,81;0,16;1,01E+12;8349,49;9,2;4;0;23,35;22,9;102,25;11,31;87,31;11;66,13;63,8;19,19;120694009;3;4;7;84,24;7;20,36;65,47;0;0
1981;Brazil;34;3;6;7;0;4;0;0;2;6;3;0;6;2;6;25;7;10;15;20;2,22E+11;4;71,8;9,42;-0,38;77,29;4,31;0,96;0,08;9,63E+11;7796,85;9,32;9;0;23,08;22,94;100,38;9,8;107,21;11;63,25;66,07;17,97;123570327;3;4;7;97,94;7;19,22;66,37;0;0
1982;Brazil;23;4;13;1;0;0;0;2;3;8;4;0;6;4;4;23;4;13;14;19;2,33E+11;4,3;71,05;7,61;-0,66;79,57;4,6;1,03;0,13;9,69E+11;7660,58;10,01;17;0;21,09;21,44;100,66;8,27;104,83;11;66,48;61,54;14,64;126498314;3;4;7;106,17;7;15,88;67,26;0;0
1983;Brazil;24;8;37;15;0;5;0;0;1;4;7;0;6;5;5;28;2;23;12;21;1,64E+11;3,1;70,29;11,42;2,41;80,9;4,87;0,79;0,09;9,36E+11;7230,72;9,66;40;0;16,68;18,13;97,59;9,01;140,2;11;69,09;60,83;19,04;129448819;3;4;7;81,44;7;20,43;68,14;0;0
1984;Brazil;26;7;27;12;0;2;0;0;2;3;8;0;6;6;6;23;1;13;18;16;1,69E+11;2,8;69,52;13,55;5,62;78,64;5,06;0,76;0,02;9,85E+11;7442,97;8,28;132;0;15,74;16,89;94,38;7,92;212,79;11;68,76;56,07;20,2;132383568;3;4;7;72,63;7;21,47;69,01;0;0
1985;Brazil;40;6;19;11;0;0;0;0;8;13;9;0;8;2;7;31;1;16;18;36;1,80E+11;3,4;68,75;12,25;5,15;75,65;5,32;0,65;0,04;1,06E+12;7862,7;9,87;476;0;19,2;16,95;94,85;7,1;231,72;11;68,04;56,81;17,93;135274080;3;4;7;70,25;7;19,34;69,86;0;0
1986;Brazil;43;6;13;8;0;0;0;0;10;7;7;1;7;4;4;31;4;41;16;22;2,20E+11;4,1;68,21;8,82;2,46;78,44;5,4;0,13;0,05;1,15E+12;8316,52;10,67;1272;0;19,09;19,09;97,54;6,35;145,27;11;72,13;72,14;14,14;138108912;3;4;7;67,05;7;15,17;70,7;0;0
1987;Brazil;41;5;42;13;0;3;1;0;20;13;6;0;3;8;7;35;10;55;21;27;2,44E+11;4,23;67,53;9,46;3,27;74,43;5,54;0,4;0,05;1,19E+12;8445,71;12,16;4036;0;22,3;22,3;96,73;6,19;204,1;11;72,99;70,24;14,56;140891602;3;4;7;69,59;7;15,65;71,53;1;0
1988;Brazil;46;12;26;16;0;1;0;0;6;10;6;1;1;11;7;41;9;43;18;37;2,74E+11;4,2;66,76;10,89;5,2;72,09;5,76;0,85;0,05;1,19E+12;8276,33;12,59;30218;0;22,72;22,72;94,8;5,69;651,11;11;71,96;73,92;15;143627503;3;4;7;69,03;7;16,58;72,34;0;0
1989;Brazil;33;7;35;14;0;2;0;0;10;8;10;1;4;13;11;49;12;34;44;40;3,95E+11;4,55;65,93;8,93;3,47;69,63;6,01;0,27;0,12;1,23E+12;8389,98;15,5;448509;0;26,9;26,9;96,53;5,46;1209,12;11;75,06;70,71;12,75;146328304;3;4;7;92,44;7;14,39;73,14;0;0
1990;Brazil;40;5;22;18;0;2;2;0;6;13;19;1;11;13;5;62;10;40;20;65;3,91E+11;4,63;65,07;8,2;1,24;78,6;6,31;0,21;0,14;1,19E+12;7983,75;19,29;11241795;0,08;20,17;20,66;98,76;6,96;2700,44;11;75,07;71,56;11,68;149003223;3;4;7;114,57;7;15,16;73,92;0;0
1991;Brazil;32;6;23;17;0;4;2;0;6;20;12;1;4;19;11;62;10;100;27;63;5,16E+11;4,63;64,1;8,68;0,76;79,47;6,64;0,18;0,17;1,21E+12;7963,11;17,9;58935000;0,39;19,77;18,11;99,24;7,91;414,24;11;71,65;73,39;9,05;151648011;3;4;7;96,32;7;16,59;74,69;4;0
1992;Brazil;38;4;22;13;0;0;1;0;2;6;7;1;16;33;24;79;24;64;44;69;3,45E+11;4,63;63,19;10,87;2,48;78,58;7,03;0,51;0,03;1,20E+12;7791,76;17,06;628867800;4,08;18,93;18,42;97,52;8,39;968,18;11;64,85;75,37;14,71;154259380;3;4;7;84,73;7;19,25;75,44;12;0
1993;Brazil;49;6;25;21;0;3;3;0;7;10;8;3;13;26;12;72;20;55;53;65;3,75E+11;4,63;62,26;10,5;1,41;77,75;7,21;0,3;0,11;1,26E+12;8020,61;17,66;13753924200;87,69;20,85;19,28;98,59;9,1;2001,35;11;65,1;74,47;15,11;156849078;3;4;7;89,1;7;19,6;76,18;10;0
1994;Brazil;28;4;35;37;0;8;3;1;2;10;16;4;30;36;31;114;26;86;40;75;4,70E+11;4,63;61,21;9,67;0;77,01;7,7;0,55;0,19;1,33E+12;8311,56;15,83;3,43E+11;2153,77;22,99;22,8;100;9,67;2302,84;11;64,61;73,99;14,29;159432716;3;4;7;92,82;7;19,33;76,9;12;0
1995;Brazil;23;6;28;34;0;9;3;0;4;17;13;10;13;26;33;119;20;85;46;166;6,71E+11;4,3;60,03;7,53;-1,93;84,63;8,19;0,63;0,18;1,38E+12;8540,08;20,93;6,95E+11;4292,6;17,29;20,29;101,93;9,46;89,5;11;63,71;72,32;13,08;162019896;3;4;7;101,55;7;16,98;77,61;16;0
1996;Brazil;43;4;40;30;0;14;3;0;5;12;16;22;10;52;18;164;22;109;47;193;7,33E+11;4,23;58,95;6,73;-2,18;84,91;9,18;1,48;0,1;1,41E+12;8591,01;19,75;8,32E+11;5052,63;17,27;18,64;102,18;8,91;18,46;11;63,68;69,31;12,31;164614688;3;4;7;107,13;7;15,64;78,3;27;0
1997;Brazil;66;10;40;28;0;3;2;0;5;9;27;22;14;50;36;167;30;103;71;263;7,55E+11;4,23;57,77;6,98;-2,61;84,84;10,19;2,22;0,12;1,46E+12;8744,85;19,54;9,22E+11;5512,33;17,76;19,12;102,61;9,59;7,73;11;60,23;69,79;13,27;167209040;3;4;7;109,89;7;16,58;79,05;36;0
1998;Brazil;35;26;31;20;0;11;0;1;8;22;27;34;24;101;46;225;39;123;90;292;7,29E+11;4,74;56,56;7,03;-2,38;84,21;11,77;3,69;0,32;1,47E+12;8641,28;20,07;9,58E+11;5642,63;18,16;18,54;102,38;9,41;4,92;11;59,66;72,12;12,94;169785250;3;4;7;106,82;7;16,44;79,78;39;0
1999;Brazil;45;11;45;30;0;5;0;1;8;29;61;53;21;85;67;232;43;158;93;361;4,98E+11;3,81;55,39;9,56;-1,85;84,46;14,5;4,74;0,25;1,47E+12;8554,07;19,78;1,03E+12;5982,48;17,39;17,02;101,85;11,42;8,01;11;63,77;72,75;16,65;172318675;3;4;7;71,01;7;20,98;80,5;47;0
2000;Brazil;48;12;60;27;0;23;1;0;18;30;47;72;34;112;83;255;70;178;83;430;5,53E+11;3,88;54,29;10,19;-2,26;83,36;17,69;5,03;0,38;1,54E+12;8803,15;18,77;1,16E+12;6662,61;18,9;18,3;102,26;12,45;5,61;11;60,68;68,54;17,36;174790340;3;4;7;76,58;7;22,64;81,19;53;0
2001;Brazil;68;19;34;25;0;26;1;1;11;16;40;57;48;87;74;219;53;220;111;439;4,69E+11;3,82;53,44;12,37;-2,19;83,45;21,12;4,15;-0,27;1,56E+12;8804,33;19,34;1,27E+12;7184,33;18,74;18,42;102,19;14,56;8,23;11;62,01;70,14;20,86;177196054;3;4;7;63,94;7;26,94;81,55;53;0
2002;Brazil;91;17;46;29;1;20;2;5;20;30;53;142;46;77;89;271;50;262;104;485;4,24E+11;3,71;52,58;14,23;0,84;81,71;21,62;3,27;0,49;1,61E+12;8954,84;19,81;1,44E+12;8014,15;17,45;17,93;99,16;13,39;9,8;11;64,48;68,77;21,69;179537520;3;4;7;60,94;7;27,62;81,88;53;0
2003;Brazil;90;16;63;27;0;16;5;3;24;33;44;139;85;126;254;312;60;318;126;560;4,68E+11;3,81;51,72;15,18;2,22;80,92;21,56;1,81;0,04;1,63E+12;8943,83;19,08;1,66E+12;9149,33;16,86;16,6;97,78;12,96;14,09;11;61,92;66,44;22,22;181809246;3;4;7;57,6;7;28,14;82,2;65;0
2004;Brazil;55;22;69;42;1;24;5;6;42;36;50;253;121;134;375;285;77;366;139;610;5,56E+11;3,9;50,89;16,55;3,41;78,67;21,51;2,72;1,42;1,72E+12;9346,04;18,47;1,90E+12;10325,25;17,91;17,32;96,59;13,13;7,75;11;59,47;63,28;24,37;184006481;3;4;7;60,45;7;29,68;82,52;74;0
2005;Brazil;110;18;72;20;0;30;6;3;22;26;45;191;108;161;315;338;61;413;124;639;7,39E+11;4,39;50,08;15,24;3,4;79,39;21,41;1,73;0,33;1,77E+12;9535,42;18,89;2,11E+12;11324,73;17,2;17,06;96,6;11,84;7,43;11;57,87;62,6;22;186127103;3;4;7;73,47;7;27,09;82,83;85;0
2006;Brazil;92;19;83;45;4;63;12;4;44;28;57;235;76;149;273;312;86;666;122;684;9,20E+11;4,79;49,24;14,37;2,71;79,48;20,62;1,75;2,6;1,85E+12;9805,72;19,04;2,35E+12;12484,4;17,82;17,21;97,29;11,67;6,77;11;57,09;60,46;21,09;188167356;3;4;7;81,73;7;26,04;83,14;99;0
2007;Brazil;114;13;115;42;1;80;5;7;47;29;71;111;78;124;94;370;116;522;178;731;1,16E+12;4,85;48,46;13,33;1,36;78,82;20,72;3,19;1,22;1,96E+12;10293,53;18,94;2,66E+12;14003,45;19,82;18;98,64;11,96;6,44;11;57,77;57,82;20,56;190130443;3;4;7;87,43;7;25,29;83,45;92;0
2008;Brazil;138;31;99;50;3;100;9;2;23;29;85;91;64;179;97;425;118;476;149;733;1,39E+12;5,16;47,72;13,53;-0,19;78,57;21,47;2,99;1,54;2,06E+12;10710,87;18,84;3,03E+12;15797,24;21,62;19,39;100,19;13,72;8,78;11;54,27;56,85;22,43;192030362;3;4;7;90,38;7;27,26;83,75;104;0
2009;Brazil;87;21;135;34;1;94;12;2;28;29;104;108;124;202;82;443;167;680;124;803;1,41E+12;5,4;46,99;10,85;-0,4;81,61;21,4;1,89;-0,27;2,05E+12;10594,99;19,65;3,26E+12;16810,29;18,8;19,1;100,4;11,25;7,31;11;49,99;58,68;17,2;193886508;3;4;7;89,16;7;22,11;84,04;103;0
2010;Brazil;105;19;153;35;4;104;12;7;30;57;88;133;122;179;79;509;123;678;162;804;1,83E+12;5,39;46,29;10,87;-1,04;79,24;21,53;3,73;1,21;2,21E+12;11286,24;19,02;3,77E+12;19271,87;21,8;20,53;101,04;11,91;8,42;11;48,07;57,33;17,81;195713635;3;4;7;100;7;22,77;84,34;107;0
2011;Brazil;167;27;110;66;1;102;21;8;34;35;95;158;199;235;107;579;131;826;171;786;2,17E+12;5,49;45,66;11,58;-0,77;78,94;21,78;3,92;0,61;2,30E+12;11627,81;18,67;4,26E+12;21580,11;21,83;20,61;100,77;12,35;8,32;11;48,49;55,25;18,84;197514534;3;4;7;103,19;7;23,93;84,63;118;0
2012;Brazil;150;23;127;44;6;138;12;2;50;46;108;187;206;228;117;718;177;825;156;841;2,06E+12;5,54;45,08;11,88;-1,36;79,94;22,23;3,76;0,08;2,34E+12;11745,78;18,53;4,71E+12;23647;21,42;20,72;101,36;13,24;7,94;11;48,76;55,09;19,31;199287296;3;4;7;92,01;7;25,11;84,92;125;0
2013;Brazil;164;20;141;47;3;166;21;11;53;39;124;244;241;287;169;784;172;1000;190;895;2,09E+12;5,54;44,56;11,74;-2,3;80,61;22,4;3,04;0,63;2,41E+12;11993,49;18,89;5,27E+12;26201,26;21,69;20,91;102,3;14,04;7,5;11;49,02;54,5;19,92;201035903;2;5;6;86,43;7;25,79;85,21;134;1
2014;Brazil;165;22;129;77;4;141;18;3;43;19;125;257;239;261;152;818;170;1102;216;930;2,07E+12;5,67;44,11;11,01;-2,66;82,11;21,76;3,57;0,84;2,42E+12;11951,21;19,15;5,66E+12;27936,76;20,55;19,87;102,66;13,67;7,85;11;49,38;53,47;18,9;202763735;2;5;6;84,6;7;24,69;85,49;152;1
2015;Brazil;210;26;138;34;8;161;23;7;62;27;187;278;459;343;190;1098;220;1253;259;1020;1,52E+12;6,13;43,75;12,9;-1,15;83,74;21,36;3,59;0,17;2,34E+12;11431,14;19,78;5,87E+12;28690,26;17,41;17,84;101,15;14,05;7,57;11;48,31;54,81;20,53;204471769;2;5;6;69,62;7;26,95;85,77;186;0
2016;Brazil;191;42;134;63;3;188;33;3;45;23;227;340;570;402;226;1278;236;1662;274;983;1,53E+12;6,13;43,58;12,47;0,4;84,63;20,37;4,14;0,82;2,26E+12;10962,63;20,39;6,14E+12;29765,24;14,97;15,53;99,6;12,07;8,1;11;48,73;58,25;18,29;206163058;2;5;6;73,03;7;24,54;86,04;248;1
